,"""<html>""","""</html>""","""<head>""","""</head>""","""<title>""","""</title>""","""<meta""","""name=""","""content=""",""">""","""<body>""","""</body>""","""<p>""","""</p>""","""<table>""","""</table>""","""<tr>""","""</tr>""","""<td>""","""</td>""","""<ul>""","""</ul>""","""<ol>""","""</ol>""","""<li>""","""<dl>""","""</dl>""","""<dt>""","""<dd>""","""WORD""",$
htmldocument,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
documentheader,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headertags,,,,4,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
headertag,,,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,
titletag,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
metatag,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
documentbody,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
bodytags,,,,,,,,,,,,11,10,,10,,,,,,10,,10,,,10,,,,10,
bodytag,,,,,,,,,,,,,14,,12,,,,,,13,,13,,,13,,,,15,
paragraph,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,
pX,,,,,,,,,,,,18,18,17,18,,,18,18,18,18,18,18,18,18,18,18,18,18,18,
table,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,
tablerows,,,,,,,,,,,,,,,,21,20,,,,,,,,,,,,,,
tablerow,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,
tablecells,,,,,,,,,,,,,,,,,,24,23,,,,,,,,,,,,
tablecell,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
tdX,,,,,,,,,,,,,,,,,,27,27,26,,,,,,,,,,,
list,,,,,,,,,,,,,,,,,,,,,28,,29,,,30,,,,,
unordered,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,
ordered,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,
listitems,,,,,,,,,,,,,,,,,,,,,,34,,34,33,,,,,,
listitem,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
definitionlist,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,
defterms,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37,37,,
defterm,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,,
content,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,41,
words,,,,,,44,,,,,,44,44,,44,,,,,,44,,44,,,44,,,,43,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""<html>""",Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""</html>""",,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""<head>""",,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""</head>""",,,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""<title>""",,,,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,
"""</title>""",,,,,,Z,,,,,,,,,,,,,,,,,,,,,,,,,
"""<meta""",,,,,,,Z,,,,,,,,,,,,,,,,,,,,,,,,
"""name=""",,,,,,,,Z,,,,,,,,,,,,,,,,,,,,,,,
"""content=""",,,,,,,,,Z,,,,,,,,,,,,,,,,,,,,,,
""">""",,,,,,,,,,Z,,,,,,,,,,,,,,,,,,,,,
"""<body>""",,,,,,,,,,,Z,,,,,,,,,,,,,,,,,,,,
"""</body>""",,,,,,,,,,,,Z,,,,,,,,,,,,,,,,,,,
"""<p>""",,,,,,,,,,,,,Z,,,,,,,,,,,,,,,,,,
"""</p>""",,,,,,,,,,,,,,Z,,,,,,,,,,,,,,,,,
"""<table>""",,,,,,,,,,,,,,,Z,,,,,,,,,,,,,,,,
"""</table>""",,,,,,,,,,,,,,,,Z,,,,,,,,,,,,,,,
"""<tr>""",,,,,,,,,,,,,,,,,Z,,,,,,,,,,,,,,
"""</tr>""",,,,,,,,,,,,,,,,,,Z,,,,,,,,,,,,,
"""<td>""",,,,,,,,,,,,,,,,,,,Z,,,,,,,,,,,,
"""</td>""",,,,,,,,,,,,,,,,,,,,Z,,,,,,,,,,,
"""<ul>""",,,,,,,,,,,,,,,,,,,,,Z,,,,,,,,,,
"""</ul>""",,,,,,,,,,,,,,,,,,,,,,Z,,,,,,,,,
"""<ol>""",,,,,,,,,,,,,,,,,,,,,,,Z,,,,,,,,
"""</ol>""",,,,,,,,,,,,,,,,,,,,,,,,Z,,,,,,,
"""<li>""",,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,,,
"""<dl>""",,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,,
"""</dl>""",,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,
"""<dt>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,
"""<dd>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,
"""WORD""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
